,id,name,followers,genres,popularity,URI,image_url,embed_link
79,0TnOYISbd1XYRBk9myaseg,Pitbull,10013699,dance pop,83,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://i.scdn.co/image/ab6761610000e5ebfc9d2abc85b6f4bef77f80ea,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Pitbull"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/0TnOYISbd1XYRBk9myaseg?utm_source=oembed""></iframe>"
80,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,15626568,piano rock,83,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: OneRepublic"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/5Pwc4xIPtQLFEnJriah9YJ?utm_source=oembed""></iframe>"
81,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,18826679,bachata,83,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Romeo Santos"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/5lwmRuXgjX8xIwlnauTZIP?utm_source=oembed""></iframe>"
82,2ye2Wgw4gimLv2eAKyk1NB,Metallica,24861126,hard rock,83,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Metallica"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/2ye2Wgw4gimLv2eAKyk1NB?utm_source=oembed""></iframe>"
83,3PhoLpVuITZKcymswpck5b,Elton John,11613442,glam rock,83,spotify:artist:3PhoLpVuITZKcymswpck5b,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Elton John"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3PhoLpVuITZKcymswpck5b?utm_source=oembed""></iframe>"
84,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,9734617,g funk,83,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,https://i.scdn.co/image/ab6761610000e5eb9a398209a4ef3360dce2dec4,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Snoop Dogg"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/7hJcb9fa4alzcOq3EaNPoG?utm_source=oembed""></iframe>"
85,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,3902499,dmv rap,83,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,https://i.scdn.co/image/ab6761610000e5eb2749cce858c97642feda7a92,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Brent Faiyaz"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3tlXnStJ1fFhdScmQeLpuG?utm_source=oembed""></iframe>"
86,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,1470520,classic oklahoma country,83,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Zach Bryan"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/40ZNYROS4zLfyyBSs2PGe2?utm_source=oembed""></iframe>"
87,3qiHUAX7zY4Qnjx8TNUzVx,Yeat,2486948,pluggnb,83,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx,https://i.scdn.co/image/ab6761610000e5eba36d13951ab8280a63bac16c,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Yeat"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3qiHUAX7zY4Qnjx8TNUzVx?utm_source=oembed""></iframe>"
88,4LLpKhyESsyAXpc4laK94U,Mac Miller,9019627,hip hop,83,spotify:artist:4LLpKhyESsyAXpc4laK94U,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Mac Miller"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/4LLpKhyESsyAXpc4laK94U?utm_source=oembed""></iframe>"
